arena,teams,lat,lon
TD Garden,BOS,42.366303,-71.062057
KeyBank Center,BUF,42.875600,-78.875565
Little Caesars Arena,DET,42.341054,-83.055314
Amerant Bank Arena,FLA,26.158057,-80.325241
Bell Centre,MTL,45.495934,-73.568699
Canadian Tire Centre,OTT,45.297007,-75.926927
Amalie Arena,TBL,27.942262,-82.451790
Scotiabank Arena,TOR,43.643466,-79.379421
Lenovo Center,CAR,35.804416,-78.722609
Nationwide Arena,CBJ,39.969610,-83.005965
Prudential Center,NJD,40.685681,-74.168077
UBS Arena,NYI,40.693575,-73.604943
Madison Square Garden,NYR,40.750485,-73.993333
Wells Fargo Center,PHI,39.901628,-75.171806
PPG Paints Arena,PIT,40.439524,-79.986514
Capital One Arena,WSH,38.897851,-77.020879
United Center,CHI,41.880669,-87.674171
Ball Arena,COL,39.748972,-105.007815
American Airlines Center,DAL,32.790436,-96.810175
Xcel Energy Center,MIN,44.944398,-93.100417
Bridgestone Arena,NSH,36.159160,-86.778485
Enterprise Center,STL,38.626272,-90.202021
Delta Center,UTA|UTAH,40.768483,-111.901147
Canada Life Centre,WPG,49.892537,-97.138131
Honda Center,ANA,33.807305,-117.881630
Scotiabank Saddledome,CGY,51.037589,-114.049928
Rogers Place,EDM,53.545560,-113.493800
Crypto.com Arena,LAK,34.043021,-118.267254
Climate Pledge Arena,SEA,47.622425,-122.353961
SAP Center,SJS,37.329892,-121.901442
Rogers Arena,VAN,49.277000,-123.108960
T-Mobile Arena,VGK,36.107291,-115.177200
Mullett Arena,ARI,33.424300,-111.929900
Gila River Arena,PHX,33.531900,-112.592200
BB&T Center,FLA,26.158057,-80.325241
FLA Live Arena,FLA,26.158057,-80.325241
Bell MTS Place,WPG,49.892537,-97.138131
Centre Bell,MTL,45.495934,-73.568699
Nassau Veterans Memorial Coliseum,NYI,40.693575,-73.604943
PNC Arena,CAR,35.804416,-78.722609
SAP Center at San Jose,SJS,37.329892,-121.901442
STAPLES Center,LAK,34.043021,-118.267254
Benchmark International Arena,TBL,27.942262,-82.451790
Grand Casino Arena,MIN,44.944398,-93.100417
Xfinity Mobile Arena,PHI,39.901628,-75.171806
Raymond James Stadium,TBL,27.975967,-82.503328
Nissan Stadium,NSH,36.166265,-86.774481
Target Field,MIN,44.988306,-93.287883
Tim Hortons Field,TOR|BUF,43.244411,-79.864864
Edgewood Tahoe Resort,VGK|COL,38.979700,-119.941000
